winner,wins
"Mumbai Indians",9
"Rising Pune Supergiant",8
"Kolkata Knight Riders",8
"Sunrisers Hyderabad",6
"Kings XI Punjab",5
"Delhi Daredevils",4
"Gujarat Lions",3
"Royal Challengers Bangalore",2
